iter	Passed	Remaining
147	4611	26546
148	4629	26441
149	4650	26350
150	4745	26681
151	4751	26507
152	4755	26325
153	4758	26138
154	4764	25971
155	4864	26315
156	4871	26155
157	4875	25984
158	4879	25810
159	5012	26317
160	5023	26178
161	5028	26011
162	5060	25984
163	5092	25960
164	5153	26080
165	5160	25926
166	5168	25779
167	5172	25617
168	5176	25451
169	5178	25285
170	5183	25129
171	5188	24977
172	5193	24827
173	5199	24684
174	5205	24538
175	5228	24478
176	5269	24500
177	5279	24382
178	5311	24360
179	5328	24275
180	5728	25921
181	5764	25906
182	5767	25748
183	5772	25598
184	5776	25447
185	5779	25293
186	5783	25143
187	5975	25810
188	5979	25659
189	5982	25505
190	5985	25352
191	5990	25207
192	5994	25065
193	5998	24919
194	6012	24821
195	6046	24804
196	6091	24828
197	6097	24697
198	6103	24569
199	6110	24440
200	6115	24310
201	6133	24231
202	6183	24278
203	6197	24182
204	6204	24063
205	6216	23960
206	6312	24181
207	6323	24078
208	6327	23947
209	6346	23876
210	6399	23930
211	6424	23879
212	6430	23758
213	6437	23644
214	6442	23522
215	6445	23395
216	6448	23267
217	6450	23140
218	6454	23017
219	6457	22896
220	6460	22773
221	6463	22650
222	6467	22534
223	6480	22448
224	6516	22447
225	6549	22430
226	6567	22364
227	6588	22308
228	6690	22526
229	6696	22420
230	6702	22312
231	6707	22203
232	6710	22091
233	6714	21980
234	6810	22171
235	6823	22090
236	6834	22003
237	6840	21899
238	6843	21789
239	6847	21683
240	6852	21582
241	6857	21477
242	6859	21369
243	6874	21299
244	6895	21248
245	6970	21366
246	6974	21262
247	6977	21156
248	6987	21073
249	7093	21281
250	7159	21363
251	7226	21448
252	7237	21370
253	7246	21282
254	7259	21209
255	7278	21154
256	7317	21154
257	7412	21317
258	7417	21220
259	7429	21145
260	7484	21190
261	7502	21131
262	7516	21064
263	7527	20984
264	7534	20897
265	7541	20811
266	7545	20713
267	7548	20616
268	7552	20523
269	7556	20430
270	7559	20335
271	7563	20243
272	7611	20269
273	7698	20397
274	7708	20323
275	7716	20242
276	7721	20153
277	7726	20066
278	7729	19974
279	7733	19886
280	7736	19796
281	7739	19705
282	7742	19615
283	7793	19648
284	7838	19665
285	7844	19583
286	7862	19533
287	7972	19710
288	7978	19628
289	7992	19568
290	8023	19548
291	8053	19527
292	8086	19513
293	8103	19458
294	8108	19376
295	8111	19292
296	8117	19213
297	8120	19128
298	8123	19044
299	8126	18961
300	8154	18936
301	8268	19110
302	8274	19034
303	8280	18958
304	8290	18891
305	8371	18986
306	8403	18968
307	8409	18892
308	8417	18822
309	8420	18743
310	8423	18662
311	8426	18581
312	8434	18513
313	8458	18478
314	8537	18566
315	8546	18500
316	8550	18422
317	8555	18349
318	8560	18275
319	8566	18203
320	8578	18146
321	8598	18105
322	8806	18458
323	8958	18690
324	8978	18648
325	9007	18622
326	9025	18575
327	9091	18626
328	9112	18584
329	9121	18519
330	9127	18448
331	9136	18383
332	9159	18347
333	9318	18580
334	9419	18698
335	9426	18629
336	9436	18564
337	9445	18499
338	9473	18471
339	9561	18561
340	9572	18499
341	9577	18426
342	9582	18354
343	9585	18279
344	9606	18237
345	9625	18192
346	9748	18344
347	9756	18278
348	9762	18209
349	9892	18371
350	9901	18307
351	9906	18237
352	9922	18186
353	9985	18222
354	10011	18190
355	10015	18118
356	10019	18046
357	10030	17988
358	10132	18092
359	10139	18025
360	10148	17964
361	10153	17895
362	10185	17873
363	10205	17831
364	10238	17811
365	10248	17753
366	10254	17686
367	10265	17629
368	10269	17560
369	10271	17489
370	10277	17424
371	10280	17355
372	10284	17287
373	10289	17222
374	10294	17158
375	10300	17094
376	10321	17055
377	10362	17051
378	10383	17013
379	10399	16968
380	10411	16915
381	10418	16855
382	10427	16798
383	10431	16733
384	10434	16668
385	10441	16609
386	10445	16545
387	10450	16483
388	10633	16702
389	10639	16641
390	10642	16576
391	10645	16510
392	10647	16446
393	10650	16381
394	10655	16320
395	10677	16286
396	10712	16271
397	10762	16278
398	10782	16241
399	10800	16200
400	10814	16154
401	10943	16278
402	11171	16548
403	11253	16601
404	11321	16633
405	11336	16586
406	11343	16527
407	11349	16467
408	11351	16403
409	11354	16340
410	11360	16280
411	11366	16221
412	11369	16158
413	11372	16096
414	11416	16093
415	11439	16059
416	11465	16030
417	11471	15972
418	11479	15917
419	11484	15859
420	11488	15800
421	11535	15800
422	11543	15746
423	11553	15695
424	11557	15637
425	11561	15577
426	11573	15530
427	11591	15492
428	11618	15464
429	11636	15425
430	11664	15399
431	11673	15348
432	11681	15296
433	11685	15239
434	11688	15181
435	11690	15122
436	11695	15067
437	11702	15015
438	11706	14959
439	11713	14908
440	11723	14859
441	11743	14825
442	11940	15013
443	12056	15097
444	12067	15050
445	12074	14998
446	12080	14945
447	12086	14892
448	12094	14842
449	12169	14874
450	12183	14830
451	12188	14777
452	12194	14724
453	12203	14676
454	12207	14622
455	12224	14583
456	12275	14585
457	12337	14600
458	12349	14555
459	12355	14504
460	12386	14481
461	12406	14447
462	12439	14427
463	12481	14418
464	12488	14368
465	12507	14332
466	12537	14309
467	12588	14309
468	12602	14269
469	12614	14224
470	12620	14174
471	12626	14124
472	12629	14071
473	12632	14018
474	12634	13964
475	12637	13912
476	12640	13859
477	12644	13808
478	12648	13757
479	12650	13705
480	12653	13653
481	12736	13688
482	12751	13649
483	12768	13612
484	12776	13566
485	12803	13541
486	12833	13518
487	12850	13482
488	12866	13444
489	12876	13401
490	12884	13356
491	12892	13311
492	13000	13370
493	13081	13398
494	13102	13367
495	13110	13322
496	13116	13274
497	13122	13227
498	13128	13181
499	13148	13148
500	13176	13124
501	13200	13094
502	13781	13616
503	13789	13570
504	13830	13556
505	13881	13552
506	13890	13507
507	13895	13458
508	13900	13408
509	13905	13359
510	13907	13309
511	13966	13311
512	14013	13303
513	14022	13258
514	14026	13209
515	14029	13159
516	14031	13108
517	14035	13060
518	14038	13011
519	14041	12961
520	14046	12914
521	14052	12867
522	14056	12820
523	14079	12789
524	14130	12784
525	14193	12790
526	14207	12751
527	14224	12715
528	14346	12773
529	14386	12757
530	14396	12715
531	14436	12699
532	14449	12660
533	14455	12615
534	14479	12585
535	14501	12553
536	14525	12523
537	14535	12482
538	14552	12446
539	14566	12408
540	14580	12370
541	14623	12357
542	14635	12317
543	14645	12276
544	14653	12233
545	14662	12192
546	14679	12156
547	14686	12114
548	14694	12071
549	14703	12030
550	14720	11995
551	14729	11954
552	14738	11913
553	14747	11872
554	14756	11831
555	14763	11789
556	14773	11749
557	14794	11718
558	14958	11800
559	15048	11824
560	15111	11825
561	15189	11838
562	15200	11798
563	15208	11756
564	15218	11716
565	15225	11674
566	15245	11642
567	15260	11606
568	15267	11564
569	15278	11526
570	15286	11484
571	15421	11539
572	15550	11588
573	15601	11579
574	15621	11546
575	15625	11502
576	15629	11458
577	15632	11413
578	15636	11369
579	15644	11328
580	15647	11284
581	15650	11240
582	15655	11197
583	15664	11158
584	15672	11118
585	15680	11078
586	15693	11041
587	15698	10999
588	15701	10956
589	15706	10914
590	15709	10872
591	15714	10830
592	15719	10788
593	15723	10747
594	15727	10705
595	15731	10663
596	15738	10623
597	15743	10583
598	15748	10542
599	15754	10502
600	15757	10461
601	15760	10419
602	15763	10378
603	15766	10337
604	15770	10296
605	15773	10255
606	15775	10214
607	15778	10173
608	15781	10132
609	15784	10091
610	15787	10051
611	15790	10011
612	15793	9970
613	15796	9930
614	15799	9890
615	15803	9851
616	15806	9811
617	15809	9772
618	15812	9732
619	15824	9699
620	15829	9660
621	15835	9623
622	15839	9585
623	15845	9547
624	15850	9510
625	15855	9472
626	15859	9434
627	15864	9397
628	15868	9359
629	15871	9321
630	15874	9283
631	15877	9245
632	15881	9207
633	15885	9170
634	15889	9133
635	15892	9095
636	15895	9058
637	15898	9021
638	15901	8983
639	15904	8946
640	15907	8909
641	15911	8872
642	15915	8836
643	15919	8800
644	15922	8763
645	15925	8727
646	15930	8691
647	15934	8655
648	15938	8619
649	15941	8583
650	15945	8548
651	15948	8512
652	15951	8476
653	15954	8440
654	15957	8405
655	15961	8370
656	15964	8334
657	15968	8299
658	15970	8264
659	15973	8228
660	15976	8193
661	15980	8159
662	15983	8124
663	15986	8089
664	15988	8054
665	15991	8019
666	15995	7985
667	15998	7951
668	16001	7917
669	16004	7882
670	16007	7848
671	16011	7814
672	16014	7781
673	16017	7747
674	16020	7713
675	16024	7680
676	16027	7646
677	16029	7612
678	16032	7579
679	16034	7545
680	16037	7512
681	16039	7479
682	16043	7446
683	16045	7412
684	16048	7380
685	16051	7347
686	16054	7314
687	16057	7281
688	16060	7249
689	16063	7216
690	16065	7184
691	16068	7151
692	16071	7119
693	16074	7087
694	16076	7055
695	16078	7023
696	16081	6990
697	16083	6958
698	16086	6926
699	16089	6895
700	16091	6863
701	16093	6831
702	16096	6800
703	16098	6768
704	16101	6737
705	16103	6706
706	16106	6675
707	16109	6643
708	16112	6613
709	16114	6582
710	16117	6551
711	16121	6520
712	16123	6490
713	16128	6460
714	16132	6430
715	16136	6400
716	16140	6370
717	16144	6340
718	16147	6310
719	16151	6281
720	16153	6250
721	16157	6221
722	16160	6191
723	16163	6161
724	16166	6132
725	16169	6102
726	16172	6072
727	16175	6043
728	16178	6014
729	16181	5984
730	16183	5955
731	16186	5926
732	16189	5897
733	16192	5867
734	16194	5838
735	16197	5809
736	16200	5781
737	16202	5752
738	16205	5723
739	16207	5694
740	16210	5666
741	16213	5637
742	16215	5608
743	16218	5580
744	16220	5552
745	16222	5523
746	16225	5495
747	16227	5467
748	16230	5438
749	16232	5410
750	16235	5383
751	16238	5355
752	16241	5327
753	16244	5299
754	16246	5272
755	16249	5244
756	16252	5216
757	16256	5189
758	16258	5162
759	16261	5135
760	16264	5107
761	16266	5080
762	16269	5053
763	16272	5026
764	16275	4999
765	16278	4972
766	16281	4945
767	16284	4919
768	16286	4892
769	16289	4865
770	16291	4838
771	16294	4812
772	16296	4785
773	16299	4759
774	16302	4732
775	16305	4706
776	16307	4680
777	16310	4654
778	16313	4628
779	16316	4601
780	16318	4575
781	16321	4549
782	16323	4523
783	16326	4498
784	16328	4472
785	16331	4446
786	16334	4420
787	16337	4395
788	16340	4369
789	16343	4344
790	16346	4319
791	16349	4293
792	16353	4268
793	16356	4243
794	16359	4218
795	16362	4193
796	16365	4168
797	16368	4143
798	16372	4118
799	16375	4093
800	16378	4068
801	16381	4044
802	16384	4019
803	16387	3995
804	16391	3970
805	16394	3946
806	16410	3924
807	16423	3902
808	16427	3878
809	16432	3854
810	16439	3831
811	16443	3807
812	16447	3783
813	16453	3759
814	16459	3736
815	16465	3712
816	16470	3689
817	16473	3665
818	16475	3641
819	16478	3617
820	16481	3593
821	16485	3569
822	16488	3546
823	16490	3522
824	16493	3498
825	16495	3474
826	16499	3451
827	16503	3428
828	16506	3404
829	16508	3381
830	16511	3357
831	16514	3334
832	16517	3311
833	16519	3288
834	16522	3264
835	16525	3241
836	16528	3218
837	16531	3195
838	16533	3172
839	16536	3149
840	16538	3126
841	16541	3103
842	16543	3081
843	16546	3058
844	16549	3035
845	16551	3012
846	16554	2990
847	16556	2967
848	16559	2945
849	16562	2922
850	16564	2900
851	16567	2877
852	16569	2855
853	16571	2833
854	16574	2810
855	16577	2788
856	16579	2766
857	16582	2744
858	16584	2722
859	16587	2700
860	16589	2678
861	16591	2656
862	16594	2634
863	16597	2612
864	16599	2590
865	16602	2568
866	16604	2547
867	16607	2525
868	16609	2503
869	16612	2482
870	16615	2460
871	16617	2439
872	16620	2417
873	16622	2396
874	16625	2375
875	16628	2353
876	16630	2332
877	16632	2311
878	16635	2289
879	16637	2268
880	16640	2247
881	16643	2226
882	16646	2205
883	16649	2184
884	16652	2163
885	16655	2143
886	16658	2122
887	16661	2101
888	16663	2080
889	16665	2059
890	16667	2039
891	16670	2018
892	16673	1997
893	16676	1977
894	16679	1956
895	16681	1936
896	16684	1915
897	16686	1895
898	16689	1874
899	16691	1854
900	16693	1834
901	16696	1813
902	16698	1793
903	16700	1773
904	16703	1753
905	16706	1733
906	16709	1713
907	16711	1693
908	16714	1673
909	16716	1653
910	16719	1633
911	16721	1613
912	16724	1593
913	16726	1573
914	16729	1554
915	16731	1534
916	16734	1514
917	16736	1494
918	16739	1475
919	16742	1455
920	16744	1436
921	16746	1416
922	16749	1397
923	16751	1377
924	16754	1358
925	16756	1339
926	16759	1319
927	16761	1300
928	16764	1281
929	16766	1261
930	16769	1242
931	16771	1223
932	16774	1204
933	16776	1185
934	16779	1166
935	16782	1147
936	16784	1128
937	16786	1109
938	16789	1090
939	16791	1071
940	16794	1052
941	16796	1034
942	16799	1015
943	16801	996
944	16804	978
945	16807	959
946	16810	940
947	16812	922
948	16815	903
949	16817	885
950	16820	866
951	16823	848
952	16825	829
953	16827	811
954	16830	793
955	16832	774
956	16835	756
957	16838	738
958	16840	719
959	16842	701
960	16844	683
961	16847	665
962	16850	647
963	16853	629
964	16855	611
965	16857	593
966	16860	575
967	16862	557
968	16865	539
969	16867	521
970	16870	503
971	16872	486
972	16875	468
973	16877	450
974	16879	432
975	16882	415
976	16885	397
977	16888	379
978	16890	362
979	16893	344
980	16895	327
981	16897	309
982	16901	292
983	16904	274
984	16906	257
985	16909	240
986	16911	222
987	16914	205
988	16916	188
989	16919	170
990	16921	153
991	16924	136
992	16926	119
993	16929	102
994	16931	85
995	16934	68
996	16936	50
997	16938	33
998	16941	16
999	16943	0
