iter	RMSE
346	118180.7965
347	118129.485
348	118083.8286
349	118020.476
350	117949.9352
351	117881.156
352	117774.0879
353	117711.0651
354	117656.4109
355	117572.766
356	117518.549
357	117356.1376
358	117279.4381
359	117233.1962
360	117174.2058
361	117107.2666
362	117051.4468
363	116908.5576
364	116836.2822
365	116724.5464
366	116673.423
367	116636.0632
368	116437.8387
369	116331.7529
370	116256.463
371	116200.5701
372	116153.0864
373	116087.2793
374	115995.1878
375	115950.6976
376	115907.5959
377	115815.623
378	115707.1923
379	115541.0123
380	115450.9706
381	115402.5121
382	115333.5318
383	115288.3078
384	115252.242
385	115212.4395
386	115144.127
387	115046.1072
388	114872.3958
389	114796.2434
390	114736.2992
391	114680.8236
392	114615.4051
393	114547.679
394	114513.7073
395	114460.6397
396	114258.0849
397	114181.4248
398	114125.7621
399	114027.0282
400	113942.0755
401	113901.2523
402	113867.3124
403	113818.8088
404	113719.8684
405	113671.1016
406	113530.9956
407	113498.4542
408	113325.7983
409	113275.819
410	113216.6033
411	113128.1097
412	113084.2191
413	113040.3754
414	112905.7688
415	112841.307
416	112797.0391
417	112749.4375
418	112678.1655
419	112615.4522
420	112571.8301
421	112475.5163
422	112433.5402
423	112401.3525
424	112351.5602
425	112296.8232
426	112254.684
427	112216.3292
428	112174.8591
429	112066.6549
430	112005.1229
431	111964.8745
432	111897.9882
433	111816.823
434	111625.9749
435	111565.3841
436	111410.58
437	111345.079
438	111297.5337
439	111135.9591
440	111079.6131
441	111014.7418
442	110963.5861
443	110934.6423
444	110829.4386
445	110772.2479
446	110712.0452
447	110655.207
448	110593.8594
449	110556.5853
450	110489.3566
451	110444.7085
452	110388.2573
453	110331.332
454	110299.1716
455	110104.7436
456	110017.2594
457	109932.6908
458	109905.0143
459	109874.2382
460	109736.7978
461	109655.0666
462	109545.3638
463	109415.5842
464	109337.9491
465	109304.64
466	109249.9192
467	109119.941
468	109090.3832
469	109015.5058
470	108963.1028
471	108860.5461
472	108834.5135
473	108732.3191
474	108677.7822
475	108627.5504
476	108551.6311
477	108526.4207
478	108484.0245
479	108406.0265
480	108273.9859
481	108213.4621
482	108102.7016
483	108059.4443
484	107959.2636
485	107869.9011
486	107801.2379
487	107765.2464
488	107683.7651
489	107654.1326
490	107585.1507
491	107535.8508
492	107470.0134
493	107436.1823
494	107396.1503
495	107282.9421
496	107254.422
497	107210.9129
498	107113.9975
499	107045.0161
500	106987.3433
501	106881.366
502	106817.8886
503	106744.8096
504	106699.4722
505	106625.0491
506	106595.6314
507	106567.327
508	106391.5334
509	106339.2432
510	106282.9757
511	106167.5343
512	106123.5868
513	106084.8358
514	105987.7346
515	105824.4698
516	105736.3914
517	105668.604
518	105630.3594
519	105518.361
520	105475.6899
521	105413.6389
522	105362.1417
523	105327.5726
524	105268.2255
525	105231.4108
526	105203.7459
527	105053.9427
528	104999.9306
529	104914.9496
530	104866.0514
531	104822.6335
532	104757.2381
533	104735.4042
534	104663.458
535	104634.7299
536	104602.9797
537	104502.8071
538	104465.5282
539	104391.6275
540	104341.9355
541	104304.7666
542	104226.6462
543	104178.9126
544	104105.1027
545	104069.9852
546	103963.8736
547	103920.97
548	103880.0098
549	103829.8138
550	103803.0695
551	103741.1765
552	103695.4462
553	103663.3049
554	103614.7357
555	103582.5098
556	103472.9819
557	103443.2963
558	103377.2401
559	103345.8554
560	103307.4318
561	103237.3163
562	103179.1732
563	103079.109
564	102992.4889
565	102939.0405
566	102884.3562
567	102859.5007
568	102786.2902
569	102687.7378
570	102663.7673
571	102643.2947
572	102594.4869
573	102563.6141
574	102519.7922
575	102495.7567
576	102468.9402
577	102439.394
578	102390.6655
579	102322.1733
580	102291.8791
581	102191.9711
582	102119.3212
583	102096.4729
584	102029.9262
585	102004.6676
586	101980.0777
587	101933.4312
588	101871.0069
589	101803.1209
590	101714.5207
591	101655.947
592	101569.7197
593	101533.997
594	101452.0275
595	101371.0745
596	101345.5933
597	101286.654
598	101243.1395
599	101209.2148
600	101120.7212
601	101096.4112
602	101047.7423
603	101023.6581
604	100999.3321
605	100937.6356
606	100892.9687
607	100871.9478
608	100822.2932
609	100799.2606
610	100750.248
611	100660.3526
612	100619.4075
613	100561.2953
614	100507.1059
615	100482.6047
616	100448.0035
617	100379.9261
618	100343.7284
619	100264.7362
620	100208.5716
621	100132.9969
622	100106.7008
623	100037.6607
624	99992.79654
625	99936.50764
626	99903.65931
627	99822.17182
628	99753.04594
629	99716.11382
630	99680.72826
631	99637.22553
632	99558.52344
633	99505.93421
634	99436.4071
635	99364.07878
636	99312.19362
637	99285.14073
638	99263.28609
639	99236.96645
640	99174.69861
641	99100.59988
642	99023.69557
643	99002.72806
644	98932.08034
645	98876.19816
646	98818.9918
647	98768.0648
648	98700.80382
649	98620.06589
650	98548.95873
651	98488.01771
652	98447.57785
653	98413.05242
654	98388.73455
655	98345.6203
656	98321.88695
657	98283.43019
658	98261.17662
659	98198.00451
660	98155.38029
661	98104.62721
662	98085.10599
663	98039.27176
664	98008.13466
665	97989.05752
666	97915.12606
667	97854.00708
668	97795.83744
669	97757.65697
670	97718.92038
671	97697.69251
672	97652.8439
673	97627.30027
674	97557.3238
675	97514.79226
676	97458.38095
677	97420.08349
678	97367.46775
679	97327.83242
680	97266.18747
681	97216.67983
682	97152.61623
683	97085.32432
684	97035.97448
685	96983.76835
686	96935.86488
687	96905.68478
688	96857.74728
689	96832.41343
690	96792.33504
691	96761.21741
692	96743.44217
693	96726.4396
694	96706.12119
695	96664.65549
696	96605.28262
697	96575.18044
698	96538.22212
699	96499.00876
700	96470.86368
701	96457.25622
702	96409.00564
703	96367.65454
704	96335.74735
705	96289.86605
706	96260.91606
707	96213.30864
708	96155.75169
709	96136.22014
710	96037.21188
711	95981.42655
712	95953.74952
713	95899.85707
714	95865.33089
715	95816.82876
716	95795.87807
717	95766.00544
718	95734.74285
719	95684.113
720	95635.90609
721	95583.96818
722	95550.57495
723	95531.44578
724	95514.30959
725	95461.51278
726	95386.12572
727	95311.21429
728	95290.25285
729	95232.77402
730	95193.79456
731	95161.31506
732	95111.05576
733	95068.92473
734	95038.48797
735	95001.74634
736	94974.9055
737	94888.51593
738	94865.42018
739	94816.42131
740	94790.74864
741	94743.99743
742	94714.65797
743	94668.00628
744	94637.90342
745	94612.44579
746	94561.26162
747	94535.07349
748	94516.63635
749	94479.14257
750	94455.66575
751	94410.07415
752	94358.68658
753	94316.86755
754	94283.22058
755	94229.99044
756	94202.1583
757	94140.09959
758	94083.92755
759	94059.78719
760	94035.76331
761	93995.8042
762	93937.88139
763	93914.63923
764	93891.28128
765	93872.60113
766	93835.57583
767	93807.37829
768	93765.02105
769	93747.37232
770	93703.49752
771	93628.18677
772	93593.29325
773	93550.66508
774	93501.70888
775	93436.11783
776	93375.91556
777	93270.64183
778	93224.60277
779	93184.74774
780	93162.11171
781	93139.13463
782	93079.50466
783	93040.91587
784	93002.65771
785	92955.15777
786	92937.51271
787	92871.2089
788	92796.47881
789	92776.20325
790	92744.34881
791	92702.20448
792	92657.25119
793	92606.39658
794	92560.33956
795	92507.37155
796	92459.14545
797	92404.49715
798	92357.64142
799	92290.68474
800	92255.2357
801	92235.73252
802	92150.35393
803	92127.93131
804	92081.25478
805	92034.26981
806	91999.75029
807	91967.49783
808	91936.87122
809	91890.2836
810	91838.68023
811	91819.79926
812	91792.34217
813	91759.4019
814	91705.02462
815	91682.47783
816	91659.36764
817	91626.38916
818	91588.84875
819	91544.99665
820	91491.6889
821	91460.85637
822	91444.23457
823	91416.41274
824	91381.21356
825	91365.19199
826	91322.15121
827	91307.50055
828	91286.44573
829	91239.43108
830	91194.2625
831	91163.58521
832	91144.62993
833	91096.8333
834	91075.3277
835	91041.04241
836	90971.46386
837	90935.35394
838	90914.28214
839	90855.09407
840	90827.26233
841	90778.18187
842	90759.51576
843	90732.9683
844	90711.52186
845	90695.92474
846	90660.67467
847	90617.03663
848	90564.23486
849	90534.80786
850	90513.92476
851	90435.97814
852	90413.69841
853	90378.91522
854	90339.45317
855	90309.3146
856	90295.21255
857	90260.62226
858	90207.72098
859	90168.74236
860	90110.33298
861	90085.98508
862	90065.36416
863	90018.00073
864	89979.09296
865	89937.29257
866	89898.6449
867	89885.26968
868	89823.94867
869	89803.60386
870	89755.76877
871	89737.91581
872	89696.9176
873	89681.50839
874	89647.53967
875	89602.31185
876	89556.9368
877	89533.43859
878	89498.24225
879	89478.37899
880	89436.62024
881	89416.30022
882	89397.29902
883	89377.72255
884	89353.34336
885	89328.9854
886	89286.89872
887	89252.83981
888	89212.17818
889	89181.53643
890	89166.26585
891	89127.51906
892	89079.35142
893	89060.52848
894	89030.58715
895	89009.3009
896	88969.46777
897	88916.8309
898	88875.25046
899	88836.88476
900	88818.79008
901	88780.30472
902	88731.79638
903	88700.57827
904	88682.03944
905	88635.99221
906	88620.91617
907	88584.04632
908	88537.73026
909	88484.53126
910	88437.11503
911	88400.90459
912	88372.60143
913	88345.69014
914	88306.92619
915	88294.73574
916	88226.44647
917	88161.53753
918	88143.46353
919	88104.03657
920	88071.44968
921	87990.4912
922	87930.94906
923	87895.47416
924	87877.79732
925	87832.63694
926	87818.22122
927	87777.17394
928	87742.53574
929	87722.22284
930	87699.71716
931	87677.18036
932	87649.07308
933	87628.1857
934	87609.67922
935	87571.78251
936	87534.77604
937	87504.03518
938	87475.71703
939	87442.85597
940	87408.95254
941	87380.87361
942	87335.54286
943	87294.60638
944	87277.74102
945	87257.85412
946	87205.48401
947	87160.51205
948	87125.3199
949	87087.89684
950	87045.15517
951	87014.05888
952	86977.83272
953	86944.20837
954	86888.14264
955	86858.74586
956	86829.72038
957	86786.03407
958	86753.3651
959	86677.31485
960	86656.97523
961	86619.50667
962	86581.2241
963	86538.7073
964	86508.8262
965	86483.89455
966	86465.49333
967	86433.40924
968	86371.15319
969	86345.3252
970	86329.30085
971	86312.09448
972	86292.77913
973	86241.94029
974	86212.50227
975	86172.12953
976	86101.37212
977	86079.70379
978	86059.97304
979	86041.11255
980	85996.7932
981	85959.6815
982	85939.58587
983	85912.68881
984	85897.28308
985	85875.12657
986	85839.68839
987	85823.94036
988	85808.68866
989	85774.27375
990	85733.06028
991	85700.89823
992	85687.72075
993	85648.2192
994	85624.0872
995	85595.98803
996	85564.91724
997	85499.39259
998	85468.18251
999	85448.36819
